node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND400064AAB,0.0,0,2,0.0,36.0,2.953379953379953,Mumbai_MaladWest_CP (Maharashtra),0.0,5.5969326443786774e-08,-1.1662972282159745e-08,6.070213613331827e-08,2.2062014524484072e-08,3.414004292220699e-09,-6.401055987790489e-09,3.0476332057997465e-08,-4.634453258505694e-08,4.965096060371524e-09,9.171172777371088e-09,1.9703558658817757e-08,-6.682406388002528e-08,1.6121340122504072e-07,-2.5839684950444136e-07,2.250436315356465e-07,-1.2834646777585526e-07
IND560048AAB,0.0008070989681392,4,2,0.6153846153846154,103.0,1.861904761904762,Bengaluru_Hoodi_IP (Karnataka),0.0831311937183472,5.596932644433579e-08,-1.1662972281926479e-08,6.070213613398169e-08,2.2062014524336655e-08,3.4140042938963924e-09,-6.401055988348386e-09,3.047633205814303e-08,-4.634453258349706e-08,4.965096059748566e-09,9.171172776442793e-09,1.9703558658306278e-08,-6.68240638824014e-08,1.61213401226362e-07,-2.583968495037231e-07,2.250436315389059e-07,-1.2834646777663932e-07
IND127201AAA,0.0012106484522089,1,1,0.0,8.0,1.7901785714285714,Loharu_BstndDPP_D (Haryana),0.0096851876176715,5.596932644401393e-08,-1.1662972281675514e-08,6.070213613265048e-08,2.2062014524654792e-08,3.414004296096008e-09,-6.401055986101815e-09,3.0476332058607845e-08,-4.6344532583245194e-08,4.9650960604266465e-09,9.171172777591085e-09,1.970355865892448e-08,-6.68240638802635e-08,1.6121340122653367e-07,-2.583968495054904e-07,2.2504363153563687e-07,-1.2834646777602303e-07
IND124141AAA,0.0012084592145015,1,1,0.0,39.0,1.7241379310344829,ChrkhiDdri_PuranDPP_D (Haryana),0.0471299093655589,5.59693264442778e-08,-1.166297228166599e-08,6.070213613246507e-08,2.2062014524625454e-08,3.4140042934248804e-09,-6.401055987174272e-09,3.047633205802588e-08,-4.634453258506009e-08,4.9650960600299605e-09,9.171172776747796e-09,1.9703558658798927e-08,-6.682406388057844e-08,1.6121340122585477e-07,-2.5839684950464126e-07,2.2504363153676623e-07,-1.2834646777599415e-07
IND401501AAA,0.0,1,1,0.0,51.0,2.072649572649573,Boisar_OstwlEmp_D (Maharashtra),0.0,-3.980846679692346e-07,2.341218143275856e-07,-6.266914052610772e-07,-9.059532860550415e-09,5.121467485665777e-07,-1.9412041330242372e-06,2.5613209648057326e-06,-1.1824074480141486e-06,5.01339784389773e-07,-2.205109082653354e-06,3.626831624391409e-07,2.0160823933277493e-06,3.939780984259437e-06,5.494503376044992e-07,1.8707597202741532e-06,-1.8565488896820757e-06
IND401602AAA,0.0,1,1,0.0,31.0,5.620909090909091,Dahanu_KetyDPP_D (Maharashtra),0.0,-3.9808466796837356e-07,2.3412181432676276e-07,-6.2669140526479e-07,-9.059532861651639e-09,5.121467485655475e-07,-1.941204133022492e-06,2.561320964800527e-06,-1.1824074480197837e-06,5.013397843829835e-07,-2.205109082640778e-06,3.6268316244776004e-07,2.0160823933305297e-06,3.939780984256136e-06,5.494503376126687e-07,1.8707597202802414e-06,-1.8565488896725684e-06
IND245101AAA,0.0,2,2,1.0,40.0,2.424248120300752,Hapur_Swargash_D (Uttar Pradesh),0.0,5.5969326444457856e-08,-1.1662972281899436e-08,6.070213613251702e-08,2.2062014524794923e-08,3.4140042946582245e-09,-6.401055986773727e-09,3.047633205826226e-08,-4.634453258402216e-08,4.965096059386491e-09,9.171172776647019e-09,1.9703558659399367e-08,-6.682406388006643e-08,1.6121340122684752e-07,-2.5839684950556897e-07,2.2504363153740622e-07,-1.2834646777556685e-07
IND174307AAA,0.0,1,1,0.5,0.0,0.0,Bangana_Bhaleti_D (Himachal Pradesh),0.0,5.596932644380967e-08,-1.1662972281410551e-08,6.070213613215869e-08,2.2062014524224797e-08,3.4140042935124644e-09,-6.401055987350197e-09,3.047633205810619e-08,-4.634453258306059e-08,4.9650960595332385e-09,9.171172776084624e-09,1.9703558660191164e-08,-6.682406387922535e-08,1.6121340122748277e-07,-2.5839684950552243e-07,2.2504363153703593e-07,-1.283464677769609e-07
IND177033AAA,0.0008078287140417,1,1,0.0,142.0,1.8742690058479528,Nadaun_Ward6_D (Himachal Pradesh),0.1147116773939314,5.596932644350502e-08,-1.1662972279519064e-08,6.070213613259933e-08,2.2062014523727314e-08,3.4140042863418552e-09,-6.401055986277947e-09,3.0476332056006164e-08,-4.634453258568172e-08,4.965096059768337e-09,9.171172775926505e-09,1.9703558660616183e-08,-6.68240638806208e-08,1.6121340122743586e-07,-2.583968495050158e-07,2.2504363153657512e-07,-1.2834646777508986e-07
IND344022AAB,0.0016193061575959,1,2,0.3333333333333333,41.0,1.35625,Balotra_BsnoiHPL_D (Rajasthan),0.0663915524614329,5.59693264437465e-08,-1.1662972280427301e-08,6.070213613357809e-08,2.2062014523789607e-08,3.414004292715796e-09,-6.401055981606329e-09,3.047633205612507e-08,-4.634453258214268e-08,4.965096059694691e-09,9.171172777377664e-09,1.970355865987258e-08,-6.682406388093318e-08,1.612134012280786e-07,-2.583968495056325e-07,2.250436315368813e-07,-1.2834646777824795e-07
IND345021AAA,0.0,2,1,0.5,30.0,1.48125,Pokhran_SttinDPP_D (Rajasthan),0.0,5.596932644423519e-08,-1.166297228011759e-08,6.07021361332662e-08,2.2062014523995238e-08,3.4140042945388987e-09,-6.401055983437996e-09,3.047633205758264e-08,-4.6344532581799647e-08,4.965096058960839e-09,9.171172776991719e-09,1.970355866037591e-08,-6.682406388092245e-08,1.6121340122797879e-07,-2.5839684950510125e-07,2.2504363153827385e-07,-1.283464677775274e-07
IND342301AAA,0.0016105492067662,4,1,0.25,54.0,1.99375,Phalodi_PalikDPP_D (Rajasthan),0.086969657165375,5.596932644397839e-08,-1.1662972280330543e-08,6.070213613358706e-08,2.2062014523701758e-08,3.414004292045863e-09,-6.401055982417828e-09,3.047633205694478e-08,-4.634453258284462e-08,4.9650960592239515e-09,9.171172777072645e-09,1.9703558659955113e-08,-6.682406388020949e-08,1.6121340122728872e-07,-2.5839684950635147e-07,2.2504363153775498e-07,-1.283464677785288e-07
